round,attempt,final_distance_m,success
1,1,0.3080045117548611,False
1,2,0.27335882203324485,False
1,3,0.2419455942847996,False
1,4,0.24404960402979986,False
1,5,0.24405144433839596,False
1,6,0.24405145597301423,False
1,7,0.24405146743969855,False
1,8,0.24405147890633871,False
1,9,0.24405149037293472,False
1,10,0.24405150183948612,False
1,11,0.24405151330599348,False
